order_id,order_date,region,segment,category,product,quantity,unit_price,discount,sales,profit
ORD-0001,2025-01-18,South,Consumer,Technology,Monitor,4,799,0.05,3036.2,641.25
ORD-0002,2025-06-18,East,Consumer,Technology,Monitor,1,4999,0.15,4249.15,978.7
ORD-0003,2025-05-18,West,Consumer,Office Supplies,Printer,1,499,0.1,449.1,114.43
ORD-0004,2025-05-15,South,Consumer,Technology,Monitor,2,499,0,998,224.84
ORD-0005,2025-01-21,West,Corporate,Furniture,Monitor,3,1299,0.15,3312.45,558.62
ORD-0006,2025-06-17,North,Consumer,Furniture,Wireless Mouse,2,1299,0,2598,507.74
ORD-0007,2025-06-29,South,Consumer,Furniture,Wireless Mouse,4,499,0,1996,496.97
ORD-0008,2025-05-16,North,Consumer,Technology,Printer,3,4999,0,14997,4461.77
ORD-0009,2025-01-20,West,Home Office,Office Supplies,Printer,4,1299,0,5196,657.71
ORD-0010,2025-05-31,South,Home Office,Furniture,Laptop Stand,3,499,0.05,1422.15,255.78
ORD-0011,2025-06-23,West,Corporate,Office Supplies,Office Chair,5,799,0.15,3395.75,944.36
ORD-0012,2025-01-14,North,Corporate,Technology,Laptop Stand,1,4999,0.1,4499.1,846.36
ORD-0013,2025-03-25,North,Home Office,Furniture,Wireless Mouse,5,4999,0.15,21245.75,4634.14
ORD-0014,2025-04-21,South,Home Office,Office Supplies,Printer,3,4999,0.15,12747.45,2498.69
ORD-0015,2025-01-19,North,Corporate,Technology,Wireless Mouse,5,1299,0.05,6170.25,1618.68
ORD-0016,2025-03-23,West,Consumer,Technology,Laptop Stand,2,7999,0.15,13598.3,4196.33
ORD-0017,2025-01-27,South,Consumer,Technology,Wireless Mouse,4,1299,0.1,4676.4,980.96
ORD-0018,2025-01-27,North,Consumer,Furniture,Monitor,5,4999,0.15,21245.75,2944.93
ORD-0019,2025-01-04,West,Corporate,Furniture,Laptop Stand,5,1299,0.15,5520.75,1462.83
ORD-0020,2025-06-25,East,Consumer,Technology,Notebook,5,799,0.05,3795.25,684.0
ORD-0021,2025-02-12,East,Corporate,Furniture,Notebook,4,799,0,3196,693.04
ORD-0022,2025-03-05,East,Home Office,Office Supplies,Office Chair,1,1299,0.1,1169.1,247.35
ORD-0023,2025-04-12,West,Home Office,Furniture,Notebook,2,1299,0,2598,540.5
ORD-0024,2025-03-18,West,Home Office,Office Supplies,Office Chair,4,7999,0.05,30396.2,6559.56
ORD-0025,2025-03-16,East,Home Office,Technology,Notebook,2,2499,0.1,4498.2,878.1
ORD-0026,2025-05-25,South,Home Office,Office Supplies,Office Chair,4,1299,0,5196,1331.96
ORD-0027,2025-02-23,East,Corporate,Office Supplies,Laptop Stand,5,499,0.15,2120.75,601.85
ORD-0028,2025-02-05,West,Consumer,Furniture,Printer,4,7999,0.15,27196.6,4102.03
ORD-0029,2025-04-25,East,Home Office,Furniture,Monitor,4,2499,0,9996,2212.34
ORD-0030,2025-04-03,North,Consumer,Technology,Printer,4,4999,0,19996,5057.76
ORD-0031,2025-05-25,East,Corporate,Furniture,Laptop Stand,2,7999,0,15998,1953.51
ORD-0032,2025-04-25,West,Corporate,Furniture,Printer,3,799,0.05,2277.15,541.32
ORD-0033,2025-01-07,East,Consumer,Furniture,Wireless Mouse,5,799,0.1,3595.5,1093.43
ORD-0034,2025-03-31,West,Corporate,Furniture,Office Chair,1,499,0.05,474.05,106.29
ORD-0035,2025-04-23,East,Corporate,Technology,Notebook,3,2499,0,7497,966.64
ORD-0036,2025-06-15,North,Home Office,Technology,Printer,1,499,0.1,449.1,75.8
ORD-0037,2025-03-26,East,Corporate,Technology,Wireless Mouse,2,4999,0.05,9498.1,2336.08
ORD-0038,2025-04-12,North,Home Office,Office Supplies,Office Chair,2,7999,0.15,13598.3,2854.49
ORD-0039,2025-06-30,South,Consumer,Furniture,Printer,4,2499,0,9996,2816.33
ORD-0040,2025-05-18,South,Corporate,Furniture,Office Chair,1,4999,0,4999,1057.34
ORD-0041,2025-05-16,West,Home Office,Furniture,Monitor,3,7999,0.15,20397.45,4049.07
ORD-0042,2025-04-28,South,Home Office,Office Supplies,Notebook,1,1299,0.1,1169.1,355.1
ORD-0043,2025-03-22,North,Consumer,Furniture,Laptop Stand,5,499,0.05,2370.25,371.2
ORD-0044,2025-04-18,South,Home Office,Furniture,Wireless Mouse,2,4999,0.15,8498.3,1335.51
ORD-0045,2025-05-23,South,Corporate,Furniture,Office Chair,5,7999,0.05,37995.25,5981.2
ORD-0046,2025-04-02,North,Corporate,Technology,Office Chair,4,4999,0,19996,5659.73
ORD-0047,2025-04-15,East,Corporate,Office Supplies,Wireless Mouse,5,4999,0.15,21245.75,4626.05
ORD-0048,2025-02-26,West,Consumer,Furniture,Office Chair,1,4999,0,4999,1137.38
ORD-0049,2025-05-21,North,Home Office,Technology,Notebook,2,2499,0.15,4248.3,1168.38
ORD-0050,2025-04-23,South,Corporate,Technology,Printer,3,4999,0,14997,4289.35
ORD-0051,2025-04-26,West,Corporate,Technology,Wireless Mouse,2,1299,0,2598,761.36
ORD-0052,2025-05-31,West,Home Office,Office Supplies,Printer,1,799,0.05,759.05,156.09
ORD-0053,2025-02-22,North,Home Office,Furniture,Monitor,5,799,0.05,3795.25,668.79
ORD-0054,2025-06-30,West,Corporate,Office Supplies,Notebook,5,799,0.1,3595.5,1116.33
ORD-0055,2025-02-04,East,Consumer,Furniture,Printer,5,7999,0,39995,5814.38
ORD-0056,2025-03-24,South,Home Office,Furniture,Wireless Mouse,2,799,0.05,1518.1,225.34
ORD-0057,2025-04-07,East,Consumer,Office Supplies,Laptop Stand,3,7999,0.15,20397.45,4091.12
ORD-0058,2025-04-27,East,Corporate,Office Supplies,Laptop Stand,3,7999,0.1,21597.3,6344.89
ORD-0059,2025-06-12,West,Consumer,Office Supplies,Wireless Mouse,1,7999,0.15,6799.15,1112.11
ORD-0060,2025-03-10,West,Corporate,Furniture,Monitor,4,799,0.15,2716.6,639.99
ORD-0061,2025-06-24,North,Consumer,Technology,Printer,5,2499,0.1,11245.5,3112.51
ORD-0062,2025-02-10,East,Corporate,Technology,Wireless Mouse,4,499,0,1996,320.29
ORD-0063,2025-02-10,West,Consumer,Office Supplies,Notebook,2,7999,0.1,14398.2,2448.81
ORD-0064,2025-01-14,East,Home Office,Furniture,Printer,3,7999,0.05,22797.15,5924.71
ORD-0065,2025-06-30,North,Consumer,Technology,Wireless Mouse,2,2499,0,4998,677.67
ORD-0066,2025-01-03,North,Home Office,Furniture,Laptop Stand,5,799,0.15,3395.75,1078.6
ORD-0067,2025-05-03,North,Consumer,Furniture,Laptop Stand,4,7999,0.05,30396.2,8090.03
ORD-0068,2025-04-05,West,Consumer,Furniture,Office Chair,1,499,0.1,449.1,111.52
ORD-0069,2025-06-06,South,Corporate,Furniture,Printer,2,499,0,998,162.29
